"An error occurred while processing your payment request, please try again later.","An error occurred while processing your payment request, please try again later."
"An error occurred while verifying your payment.","An error occurred while verifying your payment."
"API Configuration","API Configuration"
"API Key error: %s","API Key error: %s"
"API Key: connected to account %s (%s mode)","API Key: connected to account %s (%s mode)"
"API Key: not configured","API Key: not configured"
"Apple Pay","Apple Pay"
"Bancontact","Bancontact"
"Cannot refund: Payment Intent ID not found","Cannot refund: Payment Intent ID not found"
"Checkout Type","Checkout Type"
"Could not retrieve redirect URL: %s","Could not retrieve redirect URL: %s"
"Credit / Debit Card","Credit / Debit Card"
"cURL extension: enabled","cURL extension: enabled"
"cURL extension: not enabled","cURL extension: not enabled"
"Customer redirected to Stripe","Customer redirected to Stripe"
"Debug","Debug"
"Enabled","Enabled"
"Failed to retrieve checkout session: %s","Failed to retrieve checkout session: %s"
"Google Pay","Google Pay"
"Integration Mode","Integration Mode"
"JSON extension: enabled","JSON extension: enabled"
"JSON extension: not enabled","JSON extension: not enabled"
"Klarna","Klarna"
"Live","Live"
"Live Publishable Key","Live Publishable Key"
"Live Secret Key","Live Secret Key"
"Live Webhook Secret","Live Webhook Secret"
"Mode","Mode"
"No order found for payment intent ID %s","No order found for payment intent ID %s"
"Order #%s","Order #%s"
"Order Settings","Order Settings"
"Order not found.","Order not found."
"Order uncanceled by webhook.","Order uncanceled by webhook."
"Payment failed for order %s","Payment failed for order %s"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment Intent","Payment Intent"
"Payment Status","Payment Status"
"PayPal","PayPal"
"PHP version %s is below the required 8.3","PHP version %s is below the required 8.3"
"PHP version: %s","PHP version: %s"
"Please wait. If you are not redirected shortly, click here.","Please wait. If you are not redirected shortly, click here."
"Received event: %s","Received event: %s"
"Redirecting to Stripe","Redirecting to Stripe"
"Return to Cart","Return to Cart"
"Run Self Test","Run Self Test"
"SEPA Direct Debit","SEPA Direct Debit"
"Settings","Settings"
"Signature verification failed: %s","Signature verification failed: %s"
"Sort Order","Sort Order"
"Status","Status"
"Status Pending","Status Pending"
"Status Processing","Status Processing"
"Stripe","Stripe"
"Stripe - Bancontact","Stripe - Bancontact"
"Stripe - Credit / Debit Card","Stripe - Credit / Debit Card"
"Stripe - General Settings","Stripe - General Settings"
"Stripe - Google Pay","Stripe - Google Pay"
"Stripe - iDEAL","Stripe - iDEAL"
"Stripe - Klarna","Stripe - Klarna"
"Stripe - PayPal","Stripe - PayPal"
"Stripe - SEPA Direct Debit","Stripe - SEPA Direct Debit"
"Stripe - Stripe Link","Stripe - Stripe Link"
"Stripe Checkout (Hosted Page)","Stripe Checkout (Hosted Page)"
"Stripe Dashboard","Stripe Dashboard"
"Stripe Elements (Embedded Form)","Stripe Elements (Embedded Form)"
"Stripe Link","Stripe Link"
"Stripe Management","Stripe Management"
"Stripe Payment Settings","Stripe Payment Settings"
"Stripe PHP SDK: installed (v%s)","Stripe PHP SDK: installed (v%s)"
"Stripe PHP SDK: not installed. Run: composer require stripe/stripe-php","Stripe PHP SDK: not installed. Run: composer require stripe/stripe-php"
"Stripe refund error: %s","Stripe refund error: %s"
"Stripe secret key not set (%s mode)","Stripe secret key not set (%s mode)"
"Stripe set to %s mode, but publishable key does not start with ""%s""","Stripe set to %s mode, but publishable key does not start with ""%s"""
"Stripe set to %s mode, but secret key does not start with ""%s""","Stripe set to %s mode, but secret key does not start with ""%s"""
"Stripe webhook secret does not start with ""whsec_""","Stripe webhook secret does not start with ""whsec_"""
"Test","Test"
"Test Publishable Key","Test Publishable Key"
"Test Secret Key","Test Secret Key"
"Test Webhook Secret","Test Webhook Secret"
"The order was canceled, reason: payment %s","The order was canceled, reason: payment %s"
"Title","Title"
"Unable to create Stripe payment session: %s","Unable to create Stripe payment session: %s"
"Unable to create payment session.","Unable to create payment session."
"Unable to redirect to payment. Please return to checkout and try again.","Unable to redirect to payment. Please return to checkout and try again."
"Unable to send invoice email: %s","Unable to send invoice email: %s"
"Unable to send order email: %s","Unable to send order email: %s"
"Unhandled event type: %s","Unhandled event type: %s"
"Webhook URL: %s","Webhook URL: %s"
"Webhook handler error: %s","Webhook handler error: %s"
"Webhook parse error: %s","Webhook parse error: %s"
"You will be redirected to complete your payment.","You will be redirected to complete your payment."
"Your payment was not completed. Please try again.","Your payment was not completed. Please try again."
"iDEAL","iDEAL"
